MODEL TOP 5 OUT OF 100000 BATCH 1000
  quality = LINEAR(REPEAT(@A, 1, @W, @W), REPEAT(@A, 1, @W, @W),REPEAT(@A, 1, @W, @W))
DATA RAW (fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality)
0.172079392018172,-0.0817615531077505,0.213258428507068,2.82106114443047,-0.0353513910486357,0.569873393860062,0.744489023694313,2.33127399596613,-1.24679398574974,-0.349148609892348,-1.39301023621102,6
-0.65743400478101,0.215873591538634,0.0479962209558688,-0.944668824221626,0.147731996058117,-1.2528907437592,-0.149669343249378,-0.00915323711164342,0.7399530918431,0.00134170957327816,-0.824191529337963,6
1.47560044413117,0.0174501617743779,0.543782843609468,0.100271952420056,0.193502842834805,-0.312109253375066,-0.973236260171199,0.358628185229152,0.475053481497388,-0.436771189758754,-0.336632637732482,6
0.409083219675081,-0.478608412636264,-0.117265986595331,0.415725771783583,0.559669617048309,0.687471080158079,1.12097675714429,0.525801559020443,0.0114791633923931,-0.78726150922438,-0.499152268267642,6
0.409083219675081,-0.478608412636264,-0.117265986595331,0.415725771783583,0.559669617048309,0.687471080158079,1.12097675714429,0.525801559020443,0.0114791633923931,-0.78726150922438,-0.499152268267642,6
1.47560044413117,0.0174501617743779,0.543782843609468,0.100271952420056,0.193502842834805,-0.312109253375066,-0.973236260171199,0.358628185229152,0.475053481497388,-0.436771189758754,-0.336632637732482,6
-0.775935918609464,0.414297021302891,-1.43936364700493,0.119987816130276,-0.0353513910486357,-0.312109253375066,-0.0555474098868842,0.291758835712651,-0.0547457391940334,-0.173903450159535,-0.742931714070383,6
0.172079392018172,-0.0817615531077505,0.213258428507068,2.82106114443047,-0.0353513910486357,0.569873393860062,0.744489023694313,2.33127399596613,-1.24679398574974,-0.349148609892348,-1.39301023621102,6
-0.65743400478101,0.215873591538634,0.0479962209558688,-0.944668824221626,0.147731996058117,-1.2528907437592,-0.149669343249378,-0.00915323711164342,0.7399530918431,0.00134170957327816,-0.824191529337963,6
